age_group,invited,registered,date
-18,0,101,2021-03-18
18-30,329,1703,2021-03-18
30-40,419,2289,2021-03-18
40-50,486,1978,2021-03-18
50-60,1681,1845,2021-03-18
60-75,1777,1779,2021-03-18
75-,482,482,2021-03-18
-18,0,88,2021-03-19
18-30,325,1220,2021-03-19
30-40,439,1597,2021-03-19
40-50,469,1511,2021-03-19
50-60,1337,1455,2021-03-19
60-75,1459,1460,2021-03-19
75-,424,424,2021-03-19
-18,0,88,2021-03-20
18-30,552,1562,2021-03-20
30-40,468,1690,2021-03-20
40-50,408,1420,2021-03-20
50-60,1258,1350,2021-03-20
60-75,1545,1545,2021-03-20
75-,421,421,2021-03-20
-18,0,145,2021-03-21
18-30,951,2420,2021-03-21
30-40,794,2687,2021-03-21
40-50,716,2321,2021-03-21
50-60,2021,2175,2021-03-21
60-75,2146,2147,2021-03-21
75-,725,725,2021-03-21
-18,0,151,2021-03-22
18-30,1275,2972,2021-03-22
30-40,1325,3747,2021-03-22
40-50,1195,3202,2021-03-22
50-60,2998,3189,2021-03-22
60-75,3172,3172,2021-03-22
75-,1054,1054,2021-03-22
-18,0,139,2021-03-23
18-30,1010,3062,2021-03-23
30-40,1146,3662,2021-03-23
40-50,998,3191,2021-03-23
50-60,3058,3251,2021-03-23
60-75,3726,3733,2021-03-23
75-,1270,1270,2021-03-23
-18,0,142,2021-03-24
18-30,843,2772,2021-03-24
30-40,891,3374,2021-03-24
40-50,953,3148,2021-03-24
50-60,2878,3090,2021-03-24
60-75,3593,3594,2021-03-24
75-,1385,1385,2021-03-24
-18,0,162,2021-03-25
18-30,1090,2761,2021-03-25
30-40,930,3053,2021-03-25
40-50,1064,3216,2021-03-25
50-60,3030,3245,2021-03-25
60-75,3837,3840,2021-03-25
75-,1522,1522,2021-03-25
-18,0,136,2021-03-26
18-30,1159,2859,2021-03-26
30-40,1055,3255,2021-03-26
40-50,1091,3327,2021-03-26
50-60,3415,3696,2021-03-26
60-75,4155,4159,2021-03-26
75-,1608,1608,2021-03-26
-18,0,169,2021-03-27
18-30,843,2588,2021-03-27
30-40,658,2409,2021-03-27
40-50,814,2695,2021-03-27
50-60,2992,3229,2021-03-27
60-75,3783,3788,2021-03-27
75-,1453,1453,2021-03-27
-18,0,108,2021-03-28
18-30,568,2115,2021-03-28
30-40,414,1989,2021-03-28
40-50,486,2004,2021-03-28
50-60,2189,2373,2021-03-28
60-75,2857,2859,2021-03-28
75-,1229,1229,2021-03-28
-18,0,128,2021-03-29
18-30,773,2358,2021-03-29
30-40,770,2679,2021-03-29
40-50,830,2805,2021-03-29
50-60,2906,3152,2021-03-29
60-75,3710,3711,2021-03-29
75-,1566,1566,2021-03-29
-18,0,156,2021-03-30
18-30,708,2727,2021-03-30
30-40,626,2897,2021-03-30
40-50,748,2819,2021-03-30
50-60,2869,3095,2021-03-30
60-75,3654,3656,2021-03-30
75-,1462,1463,2021-03-30
-18,0,127,2021-03-31
18-30,645,2231,2021-03-31
30-40,526,2237,2021-03-31
40-50,576,2226,2021-03-31
50-60,2394,2594,2021-03-31
60-75,3346,3348,2021-03-31
75-,1427,1427,2021-03-31
-18,0,145,2021-04-01
18-30,473,2087,2021-04-01
30-40,484,2771,2021-04-01
40-50,695,2902,2021-04-01
50-60,2958,3201,2021-04-01
60-75,4193,4200,2021-04-01
75-,1762,1764,2021-04-01
-18,0,192,2021-04-02
18-30,499,2495,2021-04-02
30-40,567,3479,2021-04-02
40-50,882,4016,2021-04-02
50-60,4080,4422,2021-04-02
60-75,5957,5959,2021-04-02
75-,2378,2380,2021-04-02
-18,0,158,2021-04-03
18-30,358,1875,2021-04-03
30-40,404,2738,2021-04-03
40-50,705,3251,2021-04-03
50-60,3664,3944,2021-04-03
60-75,6438,6444,2021-04-03
75-,2576,2578,2021-04-03
-18,0,187,2021-04-04
18-30,420,2312,2021-04-04
30-40,368,3041,2021-04-04
40-50,660,3413,2021-04-04
50-60,3703,4042,2021-04-04
60-75,6023,6035,2021-04-04
75-,2540,2540,2021-04-04
-18,0,335,2021-04-05
18-30,595,3373,2021-04-05
30-40,764,5361,2021-04-05
